LOCATION,DATES,CLOSURE TYPE,PURPOSE,HOTLINE
VAN BUREN ST: 69TH AVE - 67TH AVE,10-01-2019 - 10/01/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
GREENWAY PKWY: 64TH ST - SCOTTSDALE RD,08-02-2019 - 10/02/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
CAMELBACK RD: 22ND ST - 24TH ST,09-03-2019 - 10/02/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNION HILLS DR: 40TH ST - 43RD ST,09-03-2019 - 10/02/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
56TH ST: MICHELLE DR - BELL RD,09-17-2019 - 10/02/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
7TH AVE: BETHANY HOME RD - MARSHALL AVE,09-18-2019 - 10/02/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 22ND ST - 24TH ST,09-23-2019 - 10/02/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
CHOLLA ST: 27TH ST - 25TH PL,09-25-2019 - 10/02/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
7TH AVE: GARY WAY - ARDMORE RD,09-26-2019 - 10/02/2019,PARTIAL,UTILITY WORK,480-281-1506
VAN BUREN ST: 57TH DR - 59TH AVE,09-30-2019 - 10/02/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
41ST AVE: PARADISE LN - GREENWAY RD,10-03-2019 - 10/03/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
TIERRA BUENA LN: 39TH AVE - 41ST AVE,10-03-2019 - 10/03/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
MONTE CRISTO AVE: 39TH AVE - 43RD AVE,10-03-2019 - 10/03/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
THOMAS RD: 24TH DR - 24TH AVE,09-11-2019 - 10/03/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
44TH ST: MIAMI ST - ELWOOD ST,09-30-2019 - 10/03/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ELWOOD ST: 44TH ST - 48TH ST,09-30-2019 - 10/03/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
42ND ST: ELWOOD ST - RAYMOND ST,09-30-2019 - 10/03/2019,FULL,UTILITY WORK,NOT APPLICABLE
ELWOOD ST: 42ND ST - 44TH ST,09-30-2019 - 10/03/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
29TH AVE: HAPPY VALLEY RD - PINNACLE PEAK RD,09-30-2019 - 10/03/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
44TH ST: MIAMI ST - ELWOOD ST,09-30-2019 - 10/03/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
43RD AVE: HAPPY VALLEY RD - PINNACLE PEAK RD,09-30-2019 - 10/03/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
40TH ST: EDNA AVE - SANDRA TER,10-03-2019 - 10/03/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
59TH AVE: VAN BUREN ST - BUCKEYE RD,09-29-2019 - 10/03/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
35TH AVE: CACTUS RD - SHAW BUTTE DR,09-30-2019 - 10/03/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
51ST AVE: SUNRISE DR - ELLIOT RD,06-24-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
ROOSEVELT ST: 3RD AVE - 1ST AVE,07-08-2019 - 10/04/2019,PARTIAL,UTILITY WORK,480-201-1506
WASHINGTON ST: 8TH ST - 7TH ST,07-09-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 1ST ST - 5TH ST,07-09-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 3RD AVE - 1ST AVE,07-09-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 44TH ST - 48TH ST,07-11-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
UNIVERSITY DR: ELWOOD ST - 35TH ST,07-11-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 48TH ST - 50TH ST,07-11-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
44TH ST: OSBORN RD - MULBERRY DR,07-11-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
44TH ST: OSBORN RD - CHEERY LYNN RD,07-11-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 3RD ST - 2ND ST,07-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
OSBORN RD: CENTRAL AVE - 2ND AVE,07-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: PALM LN - MCDOWELL RD,07-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
48TH ST: VAN BUREN ST - FILLMORE ST,07-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 22ND ST - 23RD ST,07-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
44TH ST: VERNON AVE - OAK ST,07-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
44TH ST: COFCO CENTER BLVD - MCKINLEY ST,07-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
44TH ST: GATEWAY BLVD - VAN BUREN ST,07-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 24TH ST - 22ND ST,08-08-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 16TH ST - 17TH ST,08-09-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
16TH ST: JEFFERSON ST - BUCKEYE RD,08-09-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
24TH ST: UNIVERSITY DR - MAGNOLIA ST,08-09-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ROOSEVELT ST: 7TH AVE - 3RD AVE,08-14-2019 - 10/04/2019,PARTIAL,UTILITY WORK,480-281-1506
5TH AVE: ROOSEVELT ST - PORTLAND ST,08-14-2019 - 10/04/2019,PARTIAL,UTILITY WORK,480-281-1506
PEORIA AVE: 19TH AVE - 17TH AVE,08-28-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CENTRAL AVE: MONROE ST - VAN BUREN ST,08-19-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PEORIA AVE: 27TH DR - 30TH AVE,09-13-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PEORIA AVE: 32ND AVE - 33RD AVE,09-13-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
SHEA BLVD: TATUM BLVD - 46TH ST,09-11-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
31ST ST: WINDSOR AVE - THOMAS RD,09-05-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
52ND PL: GREENWAY RD - BECK LN,09-03-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BASELINE RD: 16TH ST - 14TH ST,09-04-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
48TH ST: THISTLE LANDING DR - DESERT TRUMPET RD,09-06-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
59TH AVE: LOWER BUCKEYE RD - BROADWAY RD,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
TATUM BLVD: MONTE CRISTO AVE - PARADISE LN,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
3RD AVE: MONROE ST - VAN BUREN ST,09-09-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
17TH AVE: MONROE ST - ADAMS ST,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
40TH ST: DEER VALLEY DR - PINNACLE PEAK RD,09-16-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
35TH AVE: CAMELBACK RD - BETHANY HOME RD,09-16-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
35TH AVE: CAMELBACK RD - INDIAN SCHOOL RD,09-16-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
19TH AVE: WILLIAMS DR - ADOBE DR,09-11-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
SOUTHERN AVE: 32ND ST - 34TH PL,09-12-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH ST: THUNDERBIRD RD - JOAN DE ARC AVE,09-24-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
MICHIGAN AVE: 21ST ST - 22ND PL,09-23-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
32ND ST: FRIESS DR - HEARN RD,09-23-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CHOLLA ST: 24TH ST - 28TH ST,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
27TH AVE: MCDOWELL RD - CYPRESS ST,09-16-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
35TH AVE: CAMELBACK RD - MARIPOSA ST,09-16-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
THOMAS RD: 42ND ST - 40TH ST,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
LONE MOUNTAIN RD: 56TH ST - 54TH PL,09-18-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CHANDLER BLVD: 21ST ST - DESERT FOOTHILLS PKWY,09-18-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAMELBACK RD: 20TH ST - 24TH ST,09-18-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 14TH PL - 10TH ST,09-18-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
5TH AVE: FILLMORE ST - VAN BUREN ST,09-27-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
PARADISE LN: 56TH PL - 58TH ST,09-18-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMPBELL AVE: 13TH PL - 12TH ST,09-23-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
15TH AVE: APACHE ST - JEFFERSON ST,09-20-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
BASELINE RD: MARDIAN WAY - 9TH ST,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAVE CREEK RD: UTOPIA RD - MARCO POLO RD,09-30-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
15TH ST: VAN BUREN ST - FILLMORE ST,09-19-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
DEER VALLEY RD: 19TH AVE - 18TH AVE,09-20-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
56TH ST: CALLE DEL PAISANO - INDIAN SCHOOL RD,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
ROOSEVELT ST: 21ST PL - 24TH ST,09-25-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
OSBORN RD: 9TH PL - 15TH ST,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
31ST AVE: GROVERS AVE - MURIEL DR,09-20-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ROESER RD: 4TH ST - 2ND ST,09-23-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 12TH AVE - 10TH AVE,09-23-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
ROBERTS RD: 8TH PL - 11TH PL,09-23-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
51ST AVE: MCKINLEY ST - FILLMORE ST,09-23-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
GRANDVIEW RD: 25TH ST - 26TH ST,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
THOMAS RD: 89TH DR - 91ST AVE,09-23-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
89TH AVE: VERDE LN - THOMAS RD,09-23-2019 - 10/04/2019,FULL,STREET TRANSPORTATION WORK,NOT APPLICABLE
SOUTHERN AVE: 16TH AVE - 19TH AVE,09-23-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
CAVE CREEK RD: UNION HILLS DR - HARTFORD AVE,09-26-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
51ST AVE: MACKENZIE DR - INDIAN SCHOOL RD,09-30-2019 - 10/04/2019,PARTIAL,UTILITY WORK,602-288-7744
MOON VALLEY DR: MEDINAN DR - GLENEAGLES DR,09-27-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
44TH PL: COTTON GIN LOOP - COTTON CENTER BLVD,09-25-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
COTTON CENTER BLVD: 44TH PL - COTTON GIN LOOP,09-25-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAMPBELL AVE: 103RD AVE - 101ST AVE,09-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD ST: WINDSOR AVE - ASHLAND AVE,09-26-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
32ND ST: TONOPAH DR - MOHAWK LN,09-30-2019 - 10/04/2019,FULL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BEARDSLEY RD: CAVE CREEK RD - 32ND ST,09-30-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
44TH ST: PEAK VIEW RD - DALE LN,09-26-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
24TH ST: SKY HARBOR CIR - BUCKEYE RD,09-30-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-553-0005
MCDOWELL RD: 16TH ST - 20TH ST,09-30-2019 - 10/04/2019,PARTIAL,UTILITY WORK,480-281-1506
MCDOWELL RD: 16TH ST - 22ND PL,09-30-2019 - 10/04/2019,PARTIAL,UTILITY WORK,480-281-1506
28TH ST: THOMAS RD - PINCHOT AVE,09-30-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
INDIAN SCHOOL RD: 30TH ST - 32ND ST,09-30-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
43RD AVE: WINDROSE DR - BLOOMFIELD RD,09-30-2019 - 10/04/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BUCKEYE RD: 24TH AVE - 25TH AVE,09-30-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 18TH PL - 20TH ST,09-30-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
CATALINA DR: 1ST AVE - 3RD AVE,09-30-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BROADWAY RD: 95TH AVE - 99TH AVE,09-30-2019 - 10/04/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-750-2631
32ND ST: MCKINLEY ST - ROOSEVELT ST,10-01-2019 - 10/04/2019,PARTIAL,UTILITY WORK,602-288-7744
71ST AVE: MCDOWELL RD - THOMAS RD,09-30-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
THOMAS RD: 75TH AVE - 71ST AVE,09-30-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCDOWELL RD: 26TH AVE - 27TH LN,10-01-2019 - 10/04/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
8TH ST: JEFFERSON ST - WASHINGTON ST,10-04-2019 - 10/05/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
OSBORN RD: 16TH ST - 18TH ST,08-19-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
16TH ST: OSBORN RD - VERDE LN,08-19-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BUCKEYE RD: 20TH AVE - 19TH AVE,08-21-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CAMELBACK RD: 29TH AVE - 31ST AVE,09-09-2019 - 10/05/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
THOMAS RD: 3RD AVE - 6TH AVE,09-10-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH ST: ALVARADO RD - MCDOWELL RD,09-10-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCDOWELL RD: 53RD AVE - 55TH AVE,09-11-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
WASHINGTON ST: 36TH ST - 34TH ST,09-11-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCDOWELL RD: 51ST AVE - 53RD AVE,09-11-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD: 20TH ST - 24TH ST,09-12-2019 - 10/05/2019,PARTIAL,UTILITY WORK,623-825-3444
5TH ST: JEFFERSON ST - WASHINGTON ST,10-05-2019 - 10/05/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
VAN BUREN ST: GALVIN PKWY - PROJECT DR,10-05-2019 - 10/05/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
SWEETWATER AVE: 41ST PL - 42ND ST,09-21-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
39TH AVE: PARADISE DR - POINSETTIA DR,09-26-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
7TH ST: LYNWOOD ST - WILLETTA ST,09-27-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CACTUS RD: 39TH AVE - 43RD AVE,09-26-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
43RD AVE: PARADISE DR - POINSETTIA DR,09-26-2019 - 10/05/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
8TH AVE: ADAMS ST - WASHINGTON ST,10-05-2019 - 10/05/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
10TH AVE: ADAMS ST - WASHINGTON ST,10-05-2019 - 10/05/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
ADAMS ST: 8TH AVE - 10TH AVE,10-05-2019 - 10/05/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
BUCKEYE RD: 28TH AVE - 27TH AVE,08-12-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
35TH AVE: VAN BUREN ST - BUCKEYE RD,09-06-2019 - 10/06/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
TATUM BLVD: GROVERS AVE - ROBERT E LEE ST,09-26-2019 - 10/06/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
LINCOLN ST: 5TH ST - 4TH ST,09-18-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
50TH ST: CHANDLER BLVD - FRYE RD,09-18-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST: 47TH ST - 48TH ST,09-18-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BUCKEYE RD: 25TH AVE - 29TH AVE,09-19-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCDOWELL RD: 48TH ST - 51ST ST,10-05-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PIERCE ST: 3RD ST - 4TH ST,09-25-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
21ST AVE: WAGONER RD - VILLA RITA DR,10-05-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MCDOWELL RD: 50TH ST - 48TH ST,09-30-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
48TH ST: GRANADA RD - MCDOWELL RD,09-30-2019 - 10/06/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
PIERCE ST: CENTRAL AVE - 1ST ST,10-04-2019 - 10/07/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
ROOSEVELT ST: CENTRAL AVE - 7TH ST,10-05-2019 - 10/05/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
2ND ST: MORELAND ST - GARFIELD ST,10-05-2019 - 10/05/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
6TH ST: ROOSEVELT ST - GARFIELD ST,10-05-2019 - 10/05/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
5TH ST: ROOSEVELT ST - GARFIELD ST,10-05-2019 - 10/05/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
4TH ST: ROOSEVELT ST - GARFIELD ST,10-05-2019 - 10/05/2019,FULL,SPECIAL EVENT,NOT APPLICABLE
LOWER BUCKEYE RD: 71ST AVE - 75TH AVE,08-07-2019 - 10/07/2019,PARTIAL,STREET TRANSPORTATION WORK,480-281-1506
6TH AVE: FILLMORE ST - VAN BUREN ST,08-26-2019 - 10/07/2019,FULL,UTILITY WORK,480-201-1506
BUCKEYE RD: 23RD ST - 24TH ST,09-06-2019 - 10/07/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
24TH ST: UNIVERSITY DR - MAGNOLIA ST,09-06-2019 - 10/07/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
24TH ST: MAGNOLIA ST - RIVERVIEW DR,09-06-2019 - 10/07/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
SOLANO DR: BLACK CANYON HWY - 24TH AVE,09-23-2019 - 10/07/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
BROADWAY RD: 25TH ST - 24TH ST,09-23-2019 - 10/07/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
24TH ST: BROADWAY RD - PUEBLO AVE,09-23-2019 - 10/07/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
56TH ST: PINNACLE PEAK RD - DEER VALLEY DR,10-04-2019 - 10/07/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
MAYO BLVD: 64TH ST - 68TH ST,09-24-2019 - 10/07/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,602-788-2222
HAPPY VALLEY RD: 51ST AVE - 53RD AVE,09-30-2019 - 10/07/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
48TH ST: THISTLE LANDING DR - RAY RD,09-24-2019 - 10/07/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
RAY RD: 50TH ST - 46TH PL,09-24-2019 - 10/07/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
48TH ST: RAY RD - LAVENDER LN,09-24-2019 - 10/07/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
59TH AVE: VAN BUREN ST - MONROE ST,10-04-2019 - 10/07/2019,PARTIAL,STREET TRANSPORTATION WORK,602-875-8700
51ST AVE: BEVERLY RD - BASELINE RD,09-24-2019 - 10/08/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
DOBBINS RD: 47TH AVE - 43RD AVE,09-27-2019 - 10/08/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BASELINE RD: 32ND ST - 36TH ST,08-23-2019 - 10/09/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
1ST AVE: ADAMS ST - JEFFERSON ST,08-27-2019 - 10/09/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
99TH AVE: JONES AVE - BROADWAY RD,09-11-2019 - 10/09/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
99TH AVE: BROADWAY RD - MOBILE LN,09-11-2019 - 10/09/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
BROADWAY RD: 100TH AVE - 95TH AVE,09-11-2019 - 10/09/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
MOBILE LN: 103RD AVE - 99TH AVE,09-11-2019 - 10/09/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
CHOLLA ST: 28TH ST - 32ND ST,09-25-2019 - 10/09/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CENTRAL AVE: LINCOLN ST - BUCHANAN ST,10-08-2019 - 10/09/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
UNIVERSITY DR: 6TH ST - 7TH ST,09-24-2019 - 10/09/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
40TH ST: VAN BUREN ST - WASHINGTON ST,09-25-2019 - 10/09/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
43RD AVE: INDIAN SCHOOL RD - GLENROSA AVE,10-02-2019 - 10/09/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
35TH AVE: THUNDERBIRD RD - VOLTAIRE AVE,10-08-2019 - 10/09/2019,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
BEARDSLEY RD: CAVE CREEK RD - 32ND ST,10-07-2019 - 10/10/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
32ND ST: TONOPAH DR - MOHAWK LN,10-07-2019 - 10/10/2019,FULL,STREET TRANSPORTATION WORK,NOT APPLICABLE
32ND ST: TONOPAH DR - MOHAWK LN,10-07-2019 - 10/10/2019,FULL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAVE CREEK RD: ROSE GARDEN LN - BEARDSLEY RD,10-07-2019 - 10/10/2019,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
BUCHANAN ST: 1ST AVE - CENTRAL AVE,10-08-2019 - 10/10/2019,PARTIAL,SPECIAL EVENT,NOT APPLICABLE
SOUTHERN AVE: 32ND ST - 48TH ST,09-26-2019 - 10/10/2019,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
WASHINGTON ST: 22ND ST - 24TH ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
44TH ST: OSBORN RD - FLOWER ST,09-26-2019 - 10/10/2019,PARTIAL,UTILITY WORK,NOT APPLICABLE
